,Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,Goals,Shots,SoT,SoT%,G/Sh,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotCmp%,PasShoCmp%,PasMedCmp%,PasLonCmp%,Assists,PPA,CrsPA,PasAtt,PasFK,PasPress,Sw,PasCrs,CK,PaswLeft,PaswRight,PasInt,SCA,GCA,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDri%,Press,Blocks,BlkSh,BlkShSv,Int,Tkl+Int,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,DriSucc,DriAtt,DriSucc%,Carries,CarTotDist,CarPrgDist,CarDis,Rec,Rec%,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,PKcon,OG,AerWon,AerLost,AerWon%,Pos2,Value,stats_id,player_id
1323,Florian Kainz,AUT,2.0,Köln,Bundesliga,29.0,32.0,31.0,2320.0,0.16,1.55,0.54,35.0,0.1,19.9,0.19,0.0,0.0,24.9,60.5,75.3,73.1,37.1,0.16,1.71,0.54,41.2,2.13,7.48,2.64,4.26,2.95,11.2,27.4,1.82,3.06,0.58,0.31,0.85,0.23,0.81,45.7,11.8,1.67,0.12,0.0,1.98,3.37,1.09,8.68,23.1,25.1,1.28,2.64,48.5,34.8,208.4,103.8,1.09,32.4,81.2,0.12,0.04,0.04,1.67,1.94,0.04,4.26,0.0,0.0,0.62,0.81,43.2,FW,400000000.0,1324,1324
1324,Gaël Kakuta,COD,2.0,Lens,Ligue 1,30.0,29.0,20.0,1673.0,0.16,2.1,0.75,35.9,0.05,23.5,0.11,0.05,0.05,28.3,72.7,81.8,75.5,47.4,0.11,1.02,0.38,39.0,0.32,7.74,1.29,1.94,0.16,31.8,5.38,2.53,2.47,0.16,0.27,0.97,0.54,0.27,38.5,21.9,0.97,0.05,0.0,0.7,2.47,0.22,3.92,31.2,20.6,1.13,2.53,44.7,36.3,143.0,71.5,2.53,41.7,80.7,0.05,0.0,0.0,0.91,1.99,0.27,1.94,0.0,0.0,0.54,1.83,22.7,FW,0.0,1325,1325
1325,Sasa Kalajdzic,AUT,3.0,Stuttgart,Bundesliga,24.0,15.0,13.0,1221.0,0.44,2.65,0.96,36.1,0.14,12.5,0.0,0.07,0.15,19.6,69.9,79.3,67.9,54.1,0.07,0.51,0.07,28.1,0.0,10.7,0.44,0.44,0.0,2.5,18.1,1.18,2.5,0.22,0.0,0.37,0.15,0.07,20.0,17.9,0.66,0.07,0.0,0.51,1.03,0.81,1.99,23.0,16.5,0.44,1.03,42.9,19.8,70.1,26.8,1.03,29.9,61.6,0.15,0.0,0.0,0.96,1.47,0.15,0.44,0.0,0.0,6.03,4.19,59.0,,1800000000.0,1326,1326
1326,Arnaud Kalimuendo,FRA,3.0,Paris S-G,Ligue 1,20.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,50.0,0.0,30.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,30.0,0.0,0.0,0.0,50.0,430.0,260.0,0.0,50.0,55.6,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,100.0,,2500000000.0,1327,1327
1327,Arnaud Kalimuendo,FRA,3.0,Lens,Ligue 1,20.0,32.0,27.0,2148.0,0.5,2.51,1.21,48.3,0.17,16.6,0.0,0.08,0.08,16.9,82.4,83.8,88.7,69.0,0.0,0.75,0.13,20.5,0.04,4.64,0.17,0.59,0.0,3.14,16.6,0.79,1.97,0.17,0.04,0.17,0.21,0.17,36.4,14.1,0.33,0.04,0.0,0.33,0.75,0.04,1.38,14.6,19.7,0.79,2.26,35.2,24.4,131.4,68.1,2.85,26.4,59.5,0.04,0.04,0.0,0.59,1.67,0.5,0.59,0.0,0.0,0.33,1.63,17.0,,2500000000.0,1328,1328
1328,Nikola Kalini?,CRO,3.0,Hellas Verona,Serie A,34.0,14.0,4.0,406.0,0.89,2.89,0.89,30.8,0.31,9.2,0.0,0.0,0.0,18.9,83.3,87.7,83.9,66.7,0.22,0.44,0.0,22.7,0.22,7.11,0.0,0.22,0.0,2.22,18.2,0.67,3.33,0.44,0.0,0.22,0.22,0.0,0.0,7.78,0.67,0.0,0.0,0.0,0.44,0.22,1.33,15.1,23.1,0.67,1.56,42.9,27.1,64.7,21.1,4.44,32.0,61.0,1.11,0.22,0.22,3.56,2.22,0.44,0.22,0.0,0.0,1.33,2.22,37.5,,0.0,1329,1329
1329,Yayah Kallon,SLE,3.0,Genoa,Serie A,20.0,15.0,5.0,636.0,0.0,1.55,0.14,9.1,0.0,17.9,0.0,0.0,0.0,16.8,65.7,72.2,67.2,43.8,0.14,0.56,0.14,25.5,0.0,8.17,0.28,2.11,0.0,19.7,3.24,1.55,3.38,0.56,0.56,0.56,0.7,0.42,27.3,19.9,1.69,0.14,0.0,1.13,2.96,0.85,5.21,15.6,22.8,1.83,2.68,68.4,31.1,176.3,104.4,2.96,25.6,57.4,0.42,0.0,0.0,2.68,2.11,0.42,2.11,0.0,0.0,0.7,2.39,22.7,MF,150000000.0,1330,1330
1330,Felix Kalu Nmecha,GER,2.0,Wolfsburg,Bundesliga,21.0,16.0,1.0,323.0,0.0,2.5,1.39,55.6,0.0,19.9,0.0,0.0,0.0,28.6,73.6,83.3,76.0,57.1,0.0,1.39,0.0,38.9,0.28,10.0,0.56,0.83,0.0,2.5,30.0,1.39,2.5,0.28,0.28,0.28,0.0,0.28,33.3,20.3,0.28,0.0,0.0,2.22,2.78,1.39,7.78,31.7,21.1,1.39,3.33,41.7,38.9,207.5,133.9,1.94,42.5,81.0,0.56,0.0,0.0,1.94,3.61,0.0,0.83,0.0,0.0,3.33,2.78,54.5,FW,0.0,1331,1331
1331,Samuel Kalu,NGA,3.0,Watford,Premier League,24.0,4.0,2.0,222.0,0.0,1.6,0.4,25.0,0.0,21.9,0.4,0.0,0.0,21.6,83.1,97.2,75.0,45.5,0.0,0.8,0.0,26.0,1.6,8.0,0.8,1.6,0.8,2.0,21.2,0.0,2.4,0.0,0.0,0.8,0.0,0.4,50.0,9.2,1.2,0.0,0.0,2.0,2.8,1.6,4.4,16.4,21.2,0.8,2.0,40.0,27.2,128.4,72.0,2.4,28.4,78.9,0.0,0.0,0.0,0.0,2.0,1.2,1.6,0.0,0.0,0.8,1.2,40.0,,0.0,1332,1332
1332,Samuel Kalu,NGA,3.0,Bordeaux,Ligue 1,24.0,11.0,3.0,328.0,0.28,3.61,2.22,61.5,0.08,21.3,0.28,0.0,0.0,25.0,76.3,90.2,76.7,55.6,0.28,1.11,0.28,32.8,0.56,6.94,2.5,3.06,1.67,2.22,28.9,0.83,2.78,0.56,1.67,0.83,0.56,0.56,50.0,12.5,0.56,0.0,0.0,0.56,3.61,0.28,6.67,21.4,25.0,3.61,5.28,68.4,41.7,244.4,148.6,4.17,36.1,83.3,0.28,0.0,0.0,1.39,1.94,0.0,3.06,0.0,0.0,0.56,1.67,25.0,MF,0.0,1333,1333
1333,Pierre Kalulu,FRA,1.0,Milan,Serie A,21.0,28.0,21.0,1944.0,0.05,0.23,0.09,40.0,0.2,21.5,0.0,0.0,0.0,47.0,88.0,92.2,91.4,75.7,0.09,0.51,0.28,53.5,1.67,4.31,0.74,0.97,0.0,7.08,42.1,0.93,1.06,0.19,1.94,0.79,0.23,0.93,76.9,16.7,2.08,0.74,0.0,2.36,5.32,5.74,30.8,30.4,8.24,0.14,0.42,33.3,40.6,259.5,122.3,0.37,40.0,97.4,0.19,0.0,0.0,0.74,0.37,0.09,0.97,0.0,0.0,1.39,1.71,44.8,,3500000000.0,1334,1334
